err sys SYSTEM LOG:
105. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:28:44  # Sonos System - Error Getting Favorites.
106. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:29:25  # Sonos System - Error Getting Favorites.
107. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:30:06  # Sonos System - Error Getting Favorites.
108. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:30:47  # Sonos System - Error Getting Favorites.
109. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:31:28  # Sonos System - Error Getting Favorites.
110. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:32:09  # Sonos System - Error Getting Favorites.
111. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:32:50  # Sonos System - Error Getting Favorites.
112. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:33:31  # Sonos System - Error Getting Favorites.
113. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:34:12  # Sonos System - Error Getting Favorites.
114. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:34:53  # Sonos System - Error Getting Favorites.
115. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:35:34  # Sonos System - Error Getting Favorites.
116. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:36:15  # Sonos System - Error Getting Favorites.
117. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:36:56  # Sonos System - Error Getting Favorites.
118. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:37:37  # Sonos System - Error Getting Favorites.
119. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:38:18  # Sonos System - Error Getting Favorites.
120. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:38:59  # Sonos System - Error Getting Favorites.
121. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:39:40  # Sonos System - Error Getting Favorites.
122. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:40:21  # Sonos System - Error Getting Favorites.
123. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:41:02  # Sonos System - Error Getting Favorites.
124. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:41:43  # Sonos System - Error Getting Favorites.
125. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:42:24  # Sonos System - Error Getting Favorites.
126. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:43:05  # Sonos System - Error Getting Favorites.
127. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:43:46  # Sonos System - Error Getting Favorites.
128. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:44:27  # Sonos System - Error Getting Favorites.
129. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:45:08  # Sonos System - Error Getting Favorites.
130. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:45:50  # Sonos System - Error Getting Favorites.
131. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:46:31  # Sonos System - Error Getting Favorites.
132. Error: splusmanagerapp.exe [App 1] # 2017-01-29 10:47:12  # Sonos System - Error Getting Favorites.
